City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,tura,25.5198,90.2201,14.61,67,0,1.25,IN,1702168615
245,impfondo,1.6381,18.0667,22.18,94,71,0.87,CG,1702168615
246,papao,-17.75,-149.55,30.82,84,98,11.65,PF,1702168615
247,katsuren-haebaru,26.3369,127.8719,25.22,69,40,3.6,JP,1702168615
248,nova sintra,14.8667,-24.7167,22.74,72,50,4.4,CV,1702168615
249,mount isa,-20.7333,139.5,34.87,38,0,4.12,AU,1702168616
250,mount gambier,-37.8333,140.7667,14.65,60,100,6.67,AU,1702168616
251,smithers,54.7804,-127.1743,-1.82,86,75,3.6,CA,1702168616
252,thal,35.4791,72.2439,-2.37,44,0,4.34,PK,1702168616
253,weligama,5.9667,80.4167,24.56,90,52,1.37,LK,1702168616
254,strezhevoy,60.7333,77.5889,-27.8,99,41,2.68,RU,1702168337
255,quba,41.3626,48.5152,7.14,76,100,1.42,AZ,1702168616
256,amga,60.8953,131.9608,-31.12,95,100,2.59,RU,1702168616
257,vilyuysk,63.7553,121.6247,-25.31,96,100,3.07,RU,1702168616
258,atafu village,-8.5421,-172.5159,29.18,75,96,4.17,TK,1702168616
259,faya-largeau,17.9257,19.1043,20.47,24,56,3.16,TD,1702168616
260,cole harbour,44.6724,-63.4751,1.71,90,60,0.0,CA,1702168616
261,pursat,12.3333,103.6667,26.12,72,91,0.31,KH,1702168616
262,camana,-16.6228,-72.7111,19.99,80,99,1.98,PE,1702168617
263,otjimbingwe,-22.35,16.1333,22.26,38,20,3.32,NA,1702168617
264,rikaze,29.25,88.8833,-3.84,54,0,2.2,CN,1702168617
265,aykhal,66.0,111.5,-29.79,98,100,2.42,RU,1702168617
266,praia da vitoria,38.7333,-27.0667,19.14,82,75,9.0,PT,1702168617
267,selfoss,63.9331,-20.9971,-5.53,65,13,3.41,IS,1702168617
268,karratha,-20.7377,116.8463,30.11,24,16,11.44,AU,1702168617
269,puerto aysen,-45.4,-72.7,9.3,99,100,2.45,CL,1702168617
270,luderitz,-26.6481,15.1594,15.19,82,0,9.0,NA,1702168617
271,qusmuryn,52.4503,64.6311,-29.25,99,31,1.05,KZ,1702168617
